Designator,Mid X,Mid Y,Rotation,Layer
BZ1,32.512,11.43,0.0,top
C1,11.077,45.847,180.0,top
C2,16.51,38.608,180.0,top
C3,16.77,30.54,180.0,top
C4,19.6,18.19,90.0,top
C6,10.922,38.608,180.0,top
CN1,24.7,17.53,90.0,top
CN2,3.175,43.18,270.0,top
CN3,6.58,20.61,270.0,top
CN4,6.477,50.8,90.0,top
CN5,6.58,31.22,270.0,top
J1,36.83,2.54,90.0,top
J2,30.226,50.8,90.0,top
J3,57.15,2.54,90.0,top
J4,54.61,50.8,90.0,top
JP1,3.775,5.01,0.0,top
JP2,8.22,5.01,0.0,top
JP3,49.149,25.4,0.0,top
JP4,49.149,35.814,0.0,top
JP5,16.759,13.208,90.0,top
JP6,16.764,9.144,90.0,top
LD1,59.817,45.7455,90.0,top
LD10,62.357,45.7455,90.0,top
LD11,20.955,2.8955,270.0,top
LD12,24.13,2.8955,270.0,top
LD2,57.307,45.7455,90.0,top
LD3,54.737,45.7455,90.0,top
LD4,52.197,45.7455,90.0,top
LD5,49.657,45.7455,90.0,top
LD6,47.117,45.7455,90.0,top
LD9,64.897,45.7455,90.0,top
OLED1,32.18,34.085,0.0,top
Q2,40.386,16.957,180.0,top
R1,57.277,42.8245,270.0,top
R10,60.325,33.655,90.0,top
R11,60.325,28.194,90.0,top
R12,60.325,22.733,90.0,top
R13,7.493,37.084,0.0,top
R14,5.207,37.084,180.0,top
R15,48.258,15.621,0.0,top
R16,55.753,15.748,0.0,top
R17,59.182,15.748,0.0,top
R18,13.589,31.623,0.0,top
R19,11.178,31.623,0.0,top
R2,54.737,42.8245,270.0,top
R20,42.545,18.161,180.0,top
R21,11.17,30.39,180.0,top
R22,15.9,23.7,180.0,top
R23,21.971,13.208,180.0,top
R24,11.53,23.71,180.0,top
R25,64.897,42.8245,270.0,top
R27,21.907,9.144,180.0,top
R28,20.955,5.8165,90.0,top
R29,24.13,5.8165,90.0,top
R3,52.197,42.8245,270.0,top
R30,62.357,42.8245,270.0,top
R4,49.657,42.8245,270.0,top
R5,47.117,42.8245,270.0,top
R6,15.875,46.101,0.0,top
R7,59.817,42.8245,270.0,top
R79,44.704,15.621,0.0,top
R8,15.812,47.752,0.0,top
R9,60.325,39.243,90.0,top
RV1,45.378,8.546,270.0,top
RV2,57.658,8.636,270.0,top
SW1,56.769,38.757667,180.0,top
SW2,56.769,33.274,180.0,top
SW3,56.812,27.790334,180.0,top
SW4,56.769,22.306667,180.0,top
U1,13.751,35.052,0.0,top
U2,64.897,19.623,180.0,top
U3,13.716,27.051,90.0,top
U4,13.716,42.418,0.0,top
U5,13.74,19.604,90.0,top
